epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,2284.5,0.84219,0.78853,0.01192,0.91086,0.83688,0.8859,0.70038,0.87834,0.59833,0.01533,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,2397.64,0.84959,0.79223,0.01208,0.90434,0.84043,0.88485,0.69556,0.88231,0.613,0.01535,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,2506.19,0.84478,0.77902,0.01178,0.92126,0.83688,0.88749,0.69638,0.88251,0.60052,0.01553,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,2613.47,0.82934,0.78457,0.01174,0.91756,0.82878,0.88386,0.69953,0.87813,0.6078,0.01549,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,2720.28,0.82502,0.77354,0.0117,0.90399,0.84752,0.88204,0.70081,0.87912,0.60639,0.01569,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,2827.38,0.82046,0.75943,0.01162,0.91258,0.85143,0.88463,0.69799,0.87848,0.59328,0.01561,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,2937.73,0.81434,0.76134,0.01162,0.90722,0.84948,0.88505,0.69476,0.88168,0.60409,0.0156,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,3047.59,0.80557,0.75116,0.01147,0.906,0.85445,0.8784,0.69309,0.87635,0.60365,0.01546,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,3156.47,0.80846,0.75551,0.01144,0.9036,0.86702,0.88019,0.69157,0.87467,0.59966,0.01541,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,3265.15,0.80075,0.74584,0.01108,0.89814,0.85993,0.88271,0.69336,0.87182,0.61588,0.01533,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,3375.45,0.79093,0.74916,0.01128,0.89444,0.85993,0.87912,0.6917,0.87184,0.61397,0.01543,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,3485.54,0.79309,0.75505,0.01128,0.90416,0.85309,0.88451,0.69526,0.86876,0.61712,0.01536,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,3609.07,0.78662,0.74833,0.01116,0.89658,0.85993,0.88559,0.69794,0.86863,0.59563,0.01546,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
